file	bytes	pages	sha256	source
fulcrum_v1n1_april_1992.pdf	2040983	30	eaa509c11389423949a55b967b40db73ab19a00012f3226503f6ef5e11f7b526	wayback:20240922235101
fulcrum_v1n2_august_1992.pdf	6513761	36	7fdd1c57063f93e56228b91cdd1311f72d08938863fb60bb04166d64cda274ee	wayback:20240922235101
fulcrum_v1n3_december_1992.pdf	10575176	35	0cf18675fdea0daaa2ee9bb24a43def33489d245794d8813819e74cc633b32af	wayback:20240922235101
fulcrum_v1n4_april_1993.pdf	2191003	36	60be7089edec741d099973d967c1c95076af46fa7d9987efc603b983d32fee08	wayback:20240922235101
fulcrum_v2n1_august_1993.pdf	2539525	36	d99bc2f89fa2d27db5e032f1a0630dc74d798e48738fa379bef5156ecdba8cc1	wayback:20240922235101
fulcrum_v2n2_december_1993.pdf	2216904	38	3833947b1e95d68b0a03bc3de9929d4d448f6220f08f96146d28056a5cf5da0c	wayback:20240922235101
fulcrum_v2n3_february_1994.pdf	6169799	40	c002b5cbbd4cfcfc09f4a7bb1ca7bb648f83bc5edb90a643d91b82f8dd32c8ee	wayback:20240922235101
fulcrum_v2n4_june_1994.pdf	3143808	36	cf49f5a135fa80867585eb707cd65546a058d91a14f36cd5f0ae6a5d29ffa9e2	wayback:20240922235101
fulcrum_v3n1_september_1994.pdf	2238048	32	6bd8a60eeabc58a3411bc98ab20b4ac4c46bbe935a1d2148c1f423dbd231a9c4	wayback:20240922235101
fulcrum_v3n2_december_1994.pdf	10289941	49	ae5317246a993fda2ebe08b1aacd7ccdbd9df5d295df31a42416d262fe14b85b	wayback:20240922235101
fulcrum_v3n3_april_1995.pdf	3151642	40	d09cdf97aeb0d42af78903144c7f202b4603c7a9a053b29e1220fba4e9a7382c	wayback:20240922235101
fulcrum_v3n4_july_1995.pdf	4856289	40	cc4b529646121638134570e829001453b1d776d517f41172ef0d19bf525b9a0b	wayback:20240922235101
fulcrum_v4n1_january_1996.pdf	17534198	44	6738e4fac7e1ed673a6630a967a7fbad79192e3115f4740b22a22e30fde3bcab	wayback:20240922235101
fulcrum_v4n2_june_1996.pdf	7574285	59	351f16fd3ba9b23be062239c6595676a58e7681817c210d9a0325f407f7059ac	wayback:20240922235101
fulcrum_v4n3_october_1996.pdf	6554673	53	4ff27b2111d7c19c2a4d0ba4873d2c79303a789b40c1b7755220c9634e00e470	wayback:20240922235101
fulcrum_v5n1_may_1997.pdf	36811079	138	f2811d92457ab2c96ed53bd23d979ca95ffd3788c03d9020560456ca2e2864c4	wayback:20240922235101
fulcrum_v5n2_november_1997.pdf	29340067	88	04b4719f55acb55afd4c642121367f1f580de48fa1783beb29a7ee6451f248a8	USP SharePoint (rebuilt site, 2026)
fulcrum_v5n3_december_1997.pdf	25837517	86	3db8b3b5cbffd1034874a010538a423feaecb1e8737a4f44ab8920a53532484a	wayback:20240922235101
fulcrum_v6n1_may_1998.pdf	30613113	106	7c7579bdcfc99bdc1651a7b110935de3c2b9058fda4f4f5d0598f1b277892860	wayback:20240922235101
fulcrum_v6n2_november_1998.pdf	26572798	79	3fb9c6931b7e346999b60b53e6d652acde49f52a4b29a6f12097f91c3b6970e6	wayback:20240922235101
fulcrum_v6n3_december_1998.pdf	28562591	107	92d9c7dccc3b717853c4f10a09cdcb803042a12d15109370d255385255996c1a	wayback:20240922235101
